Country	Subject Descriptor	Units	Scale	Country/Series-specific Notes	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	Estimates Start After	,,
,,
Spain	Inflation, average consumer prices	Index	Units	Source: Statistical Office of the European Union (Eurostat) Latest actual data: 2023 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 03/2024	19.779	22.657	25.923	29.078	32.359	35.211	38.308	40.318	42.268	45.139	48.173	51.032	54.678	57.176	59.874	62.672	64.928	66.146	67.313	68.817	71.215	73.227	75.856	78.210	80.598	83.326	86.293	88.747	92.413	92.192	94.075	96.944	99.306	100.825	100.633	100.000	99.663	101.693	103.458	104.264	103.913	107.038	115.947	2023	,
,,
,,
,,
International Monetary Fund, World Economic Outlook Database, April 2024
