Causa de muerte	Sexo	Edad	Comunidades y Ciudades Autónomas	Periodo	Total
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	2019	152
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	2018	132
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	2017	157
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	2016	135
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	2015	167
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	2014	190
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	2013	184
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	2012	163
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	2011	145
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	2010	141
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	2009	157
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	2008	155
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	2007	141
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	2006	141
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	2005	152
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	2004	171
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	2003	149
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	2002	143
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	2001	134
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	2000	145
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	1999	123
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	1998	136
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	1997	126
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	1996	141
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	1995	149
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	1994	121
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	1993	149
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	1992	103
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	1991	152
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	1990	123
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	1989	121
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	1988	117
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	1987	126
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	1986	134
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	1985	120
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	1984	126
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	1983	125
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	1982	99
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	1981	119
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	1980	89
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	2022	614
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	2021	576
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	2020	556
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	2019	535
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	2018	522
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	2017	504
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	2016	510
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	2015	495
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	2014	531
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	2013	544
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	2012	526
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	2011	478
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	2010	418
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	2009	440
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	2008	425
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	2007	377
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	2006	381
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	2005	425
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	2004	485
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	2003	470
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	2002	500
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	2001	488
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	2000	471
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	1999	473
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	1998	481
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	1997	477
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	1996	446
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	1995	486
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	1994	471
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	1993	417
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	1992	438
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	1991	431
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	1990	459
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	1989	483
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	1988	393
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	1987	377
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	1986	396
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	1985	380
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	1984	370
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	1983	279
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	1982	158
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	1981	121
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	1980	130
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	2022	445
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	2021	403
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	2020	440
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	2019	450
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	2018	396
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	2017	397
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	2016	336
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	2015	348
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	2014	380
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	2013	399
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	2012	406
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	2011	332
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	2010	400
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	2009	381
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	2008	371
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	2007	396
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	2006	363
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	2005	388
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	2004	358
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	2003	362
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	2002	300
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	2001	338
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	2000	355
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	1999	351
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	1998	317
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	1997	321
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	1996	367
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	1995	333
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	1994	341
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	1993	352
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	1992	337
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	1991	310
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	1990	283
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	1989	282
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	1988	261
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	1987	215
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	1986	255
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	1985	232
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	1984	218
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	1983	211
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	1982	211
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	1981	183
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	1980	186
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	2022	95
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	2021	81
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	2020	92
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	2019	79
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	2018	70
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	2017	77
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	2016	82
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	2015	58
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	2014	63
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	2013	74
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	2012	76
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	2011	70
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	2010	81
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	2009	73
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	2008	78
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	2007	74
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	2006	70
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	2005	89
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	2004	93
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	2003	69
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	2002	90
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	2001	67
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	2000	80
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	1999	74
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	1998	76
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	1997	97
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	1996	81
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	1995	76
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	1994	73
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	1993	80
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	1992	66
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	1991	56
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	1990	73
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	1989	81
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	1988	99
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	1987	86
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	1986	73
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	1985	80
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	1984	92
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	1983	97
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	1982	76
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	1981	54
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	1980	71
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	2022	328
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	2021	337
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	2020	305
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	2019	292
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	2018	274
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	2017	323
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	2016	338
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	2015	318
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	2014	371
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	2013	333
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	2012	332
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	2011	306
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	2010	275
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	2009	340
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	2008	296
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	2007	304
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	2006	300
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	2005	329
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	2004	301
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	2003	337
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	2002	284
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	2001	266
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	2000	293
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	1999	293
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	1998	322
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	1997	298
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	1996	313
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	1995	310
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	1994	312
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	1993	372
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	1992	284
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	1991	292
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	1990	298
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	1989	266
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	1988	316
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	1987	308
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	1986	270
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	1985	248
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	1984	240
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	1983	205
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	1982	203
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	1981	155
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	1980	155
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	2022	403
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	2021	348
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	2020	373
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	2019	350
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	2018	342
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	2017	341
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	2016	305
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	2015	327
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	2014	345
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	2013	333
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	2012	95
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	2011	139
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	2010	122
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	2009	153
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	2008	179
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	2007	159
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	2006	219
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	2005	257
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	2004	304
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	2003	279
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	2002	267
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	2001	251
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	2000	223
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	1999	142
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	1998	165
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	1997	175
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	1996	173
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	1995	161
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	1994	181
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	1993	134
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	1992	111
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	1991	139
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	1990	148
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	1989	166
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	1988	171
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	1987	178
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	1986	157
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	1985	153
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	1984	123
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	1983	128
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	1982	116
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	1981	123
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	1980	125
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	2022	137
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	2021	123
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	2020	122
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	2019	125
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	2018	127
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	2017	98
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	2016	119
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	2015	106
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	2014	106
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	2013	102
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	2012	106
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	2011	116
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	2010	90
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	2009	97
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	2008	115
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	2007	101
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	2006	124
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	2005	101
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	2004	120
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	2003	95
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	2002	99
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	2001	90
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	2000	112
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	1999	115
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	1998	109
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	1997	109
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	1996	94
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	1995	98
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	1994	88
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	1993	68
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	1992	78
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	1991	64
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	1990	68
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	1989	66
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	1988	62
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	1987	64
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	1986	61
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	1985	50
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	1984	35
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	1983	43
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	1982	42
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	1981	57
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	1980	40
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	15 Navarra, Comunidad Foral de	2022	57
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	15 Navarra, Comunidad Foral de	2021	60
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	15 Navarra, Comunidad Foral de	2020	44
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	15 Navarra, Comunidad Foral de	2019	46
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	15 Navarra, Comunidad Foral de	2018	39
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	15 Navarra, Comunidad Foral de	2017	48
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	15 Navarra, Comunidad Foral de	2016	51
